title,description,views,likes,comments
How to learn Python,Python tutorial for beginners,150000,12000,800
Funny cat video,Cute cat playing at home,500000,45000,3000
Study tips for exams,Best exam preparation tips,80000,6000,400
Music remix,New trending remix song,600000,55000,5000
College project help,Final year project ideas and guidance,120000,9000,700
Daily vlog,My daily routine vlog,40000,3000,200
Tech review,Latest smartphone review,200000,18000,1500
Cooking recipe,Easy Indian cooking recipe,95000,7000,600
Motivation speech,Success motivation for students,180000,16000,1200
Gaming highlights,Top gaming moments compilation,350000,30000,2500
